,dist,crop
0,24 PARAGANAS NORTH,Coconut 
1,24 PARAGANAS SOUTH,Coconut 
2,ADILABAD,Sugarcane
3,AGAR MALWA,Sugarcane
4,AGRA,Sugarcane
5,AHMADABAD,Sugarcane
6,AHMEDNAGAR,Banana
7,AIZAWL,Tapioca
8,AJMER,Sugarcane
9,AKOLA,Sugarcane
10,ALAPPUZHA,Coconut 
11,ALIGARH,Sugarcane
12,ALIRAJPUR,Sugarcane
13,ALLAHABAD,Sugarcane
14,ALMORA,Potato
15,ALWAR,Sugarcane
16,AMBALA,Sugarcane
17,AMBEDKAR NAGAR,Sugarcane
18,AMETHI,Sugarcane
19,AMRAVATI,Banana
20,AMRELI,Banana
21,AMRITSAR,Sugarcane
22,AMROHA,Sugarcane
23,ANAND,Banana
24,ANANTAPUR,Coconut 
25,ANANTNAG,Potato
26,ANJAW,Potato
27,ANUGUL,Sugarcane
28,ANUPPUR,Sugarcane
29,ARARIA,Sugarcane
30,ARIYALUR,Coconut 
31,ARWAL,Sugarcane
32,ASHOKNAGAR,Papaya
33,AURAIYA,Sugarcane
34,AURANGABAD,Sugarcane
35,AZAMGARH,Sugarcane
36,BADGAM,Potato
37,BAGALKOT,Sugarcane
38,BAGESHWAR,Potato
39,BAGHPAT,Sugarcane
40,BAHRAICH,Sugarcane
41,BAKSA,Coconut 
42,BALAGHAT,Sugarcane
43,BALANGIR,Sugarcane
44,BALESHWAR,Sugarcane
45,BALLIA,Banana
46,BALOD,Banana
47,BALODA BAZAR,Banana
48,BALRAMPUR,Sugarcane
49,BANAS KANTHA,Sugarcane
50,BANDA,Sugarcane
51,BANDIPORA,Potato
52,BANGALORE RURAL,Sugarcane
53,BANKA,Sugarcane
54,BANKURA,Coconut 
55,BANSWARA,Sugarcane
56,BARABANKI,Sugarcane
57,BARAMULLA,Potato
58,BARAN,Sugarcane
59,BARDHAMAN,Coconut 
60,BAREILLY,Sugarcane
61,BARGARH,Sugarcane
62,BARMER,Barley
63,BARNALA,Sugarcane
64,BARPETA,Coconut 
65,BARWANI,Papaya
66,BASTAR,Papaya
67,BASTI,Sugarcane
68,BATHINDA,Sugarcane
69,BEED,Sugarcane
70,BEGUSARAI,Sugarcane
71,BELGAUM,Sugarcane
72,BELLARY,Sugarcane
73,BEMETARA,Banana
74,BENGALURU URBAN,Sugarcane
75,BETUL,Sugarcane
76,BHADRAK,Sugarcane
77,BHAGALPUR,Sugarcane
78,BHANDARA,Sugarcane
79,BHARATPUR,Sugarcane
80,BHARUCH,Banana
81,BHAVNAGAR,Sugarcane
82,BHILWARA,Sugarcane
83,BHIND,Papaya
84,BHIWANI,Sugarcane
85,BHOJPUR,Sugarcane
86,BHOPAL,Sugarcane
87,BIDAR,Sugarcane
88,BIJAPUR,Sugarcane
89,BIJNOR,Sugarcane
90,BIKANER,Sugarcane
91,BILASPUR,Banana
92,BIRBHUM,Coconut 
93,BISHNUPUR,Sugarcane
94,BOKARO,Potato
95,BONGAIGAON,Coconut 
96,BOUDH,Sugarcane
97,BUDAUN,Sugarcane
98,BULANDSHAHR,Sugarcane
99,BULDHANA,Sugarcane
100,BUNDI,Sugarcane
101,BURHANPUR,Sugarcane
102,BUXAR,Sugarcane
103,CACHAR,Coconut 
104,CHAMARAJANAGAR,Sugarcane
105,CHAMBA,Potato
106,CHAMOLI,Sugarcane
107,CHAMPAWAT,Sugarcane
108,CHAMPHAI,Sugarcane
109,CHANDAULI,Sugarcane
110,CHANDEL,Sugarcane
111,CHANDIGARH,Potato
112,CHANDRAPUR,Sugarcane
113,CHANGLANG,Sugarcane
114,CHATRA,Sugarcane
115,CHHATARPUR,Sugarcane
116,CHHINDWARA,Banana
117,CHIKBALLAPUR,Sugarcane
118,CHIKMAGALUR,Sugarcane
119,CHIRANG,Coconut 
120,CHITRADURGA,Sugarcane
121,CHITRAKOOT,Sugarcane
122,CHITTOOR,Coconut 
123,CHITTORGARH,Sugarcane
124,CHURACHANDPUR,Sugarcane
125,CHURU,Tobacco
126,COIMBATORE,Coconut 
127,COOCHBEHAR,Coconut 
128,CUDDALORE,Coconut 
129,CUTTACK,Sugarcane
130,DADRA AND NAGAR HAVELI,Sugarcane
131,DAKSHIN KANNAD,Sugarcane
132,DAMOH,Sugarcane
133,DANG,Sugarcane
134,DANTEWADA,Banana
135,DARBHANGA,Sugarcane
136,DARJEELING,Coconut 
137,DARRANG,Coconut 
138,DATIA,Sugarcane
139,DAUSA,Sugarcane
140,DAVANGERE,Sugarcane
141,DEHRADUN,Sugarcane
142,DEOGARH,Sugarcane
143,DEOGHAR,Potato
144,DEORIA,Sugarcane
145,DEWAS,Papaya
146,DHALAI,Sugarcane
147,DHAMTARI,Banana
148,DHANBAD,Potato
149,DHAR,Banana
150,DHARMAPURI,Coconut 
151,DHARWAD,Sugarcane
152,DHEMAJI,Coconut 
153,DHENKANAL,Sugarcane
154,DHOLPUR,Sugarcane
155,DHUBRI,Coconut 
156,DHULE,Banana
157,DIBANG VALLEY,Sugarcane
158,DIBRUGARH,Coconut 
159,DIMA HASAO,Coconut 
160,DIMAPUR,Sugarcane
161,DINAJPUR DAKSHIN,Coconut 
162,DINAJPUR UTTAR,Coconut 
163,DINDIGUL,Coconut 
164,DINDORI,Onion
165,DODA,Potato
166,DOHAD,Onion
167,DUMKA,Onion
168,DUNGARPUR,Sugarcane
169,DURG,Papaya
170,EAST DISTRICT,Potato
171,EAST GARO HILLS,Pineapple
172,EAST GODAVARI,Coconut 
173,EAST JAINTIA HILLS,Tapioca
174,EAST KAMENG,Sugarcane
175,EAST KHASI HILLS,Banana
176,EAST SIANG,Sugarcane
177,EAST SINGHBUM,Onion
178,ERNAKULAM,Coconut 
179,ERODE,Coconut 
180,ETAH,Sugarcane
181,ETAWAH,Sugarcane
182,FAIZABAD,Sugarcane
183,FARIDABAD,Sugarcane
184,FARIDKOT,Sugarcane
185,FARRUKHABAD,Sugarcane
186,FATEHABAD,Sugarcane
187,FATEHGARH SAHIB,Sugarcane
188,FATEHPUR,Sugarcane
189,FAZILKA,Sugarcane
190,FIROZABAD,Sugarcane
191,FIROZEPUR,Sugarcane
192,GADAG,Sugarcane
193,GADCHIROLI,Sugarcane
194,GAJAPATI,Sugarcane
195,GANDERBAL,Potato
196,GANDHINAGAR,Banana
197,GANGANAGAR,Sugarcane
198,GANJAM,Sugarcane
199,GARHWA,Sugarcane
200,GARIYABAND,Banana
201,GAUTAM BUDDHA NAGAR,Sugarcane
202,GAYA,Sugarcane
203,GHAZIABAD,Sugarcane
204,GHAZIPUR,Sugarcane
205,GIRIDIH,Onion
206,GOALPARA,Coconut 
207,GODDA,Sugarcane
208,GOLAGHAT,Coconut 
209,GOMATI,Sugarcane
210,GONDA,Sugarcane
211,GONDIA,Sugarcane
212,GOPALGANJ,Sugarcane
213,GORAKHPUR,Sugarcane
214,GULBARGA,Sugarcane
215,GUMLA,Onion
216,GUNA,Papaya
217,GUNTUR,Coconut 
218,GURDASPUR,Sugarcane
219,GURGAON,Sugarcane
220,GWALIOR,Sugarcane
221,HAILAKANDI,Coconut 
222,HAMIRPUR,Sugarcane
223,HANUMANGARH,Sugarcane
224,HAPUR,Sugarcane
225,HARDA,Papaya
226,HARDOI,Sugarcane
227,HARIDWAR,Sugarcane
228,HASSAN,Sugarcane
229,HATHRAS,Sugarcane
230,HAVERI,Sugarcane
231,HAZARIBAGH,Sugarcane
232,HINGOLI,Sugarcane
233,HISAR,Sugarcane
234,HOOGHLY,Coconut 
235,HOSHANGABAD,Papaya
236,HOSHIARPUR,Sugarcane
237,HOWRAH,Coconut 
238,HYDERABAD,Dry chillies
239,IDUKKI,Coconut 
240,IMPHAL EAST,Sugarcane
241,IMPHAL WEST,Sugarcane
242,INDORE,Papaya
243,JABALPUR,Papaya
244,JAGATSINGHAPUR,Sugarcane
245,JAIPUR,Sugarcane
246,JAISALMER,Sugarcane
247,JAJAPUR,Sugarcane
248,JALANDHAR,Sugarcane
249,JALAUN,Banana
250,JALGAON,Sugarcane
251,JALNA,Sugarcane
252,JALORE,Papaya
253,JALPAIGURI,Coconut 
254,JAMMU,Potato
255,JAMNAGAR,Sugarcane
256,JAMTARA,Onion
257,JAMUI,Sugarcane
258,JANJGIR-CHAMPA,Banana
259,JASHPUR,Papaya
260,JAUNPUR,Sugarcane
261,JEHANABAD,Sugarcane
262,JHABUA,Papaya
263,JHAJJAR,Sugarcane
264,JHALAWAR,Sugarcane
265,JHANSI,Sugarcane
266,JHARSUGUDA,Sugarcane
267,JHUNJHUNU,Sugarcane
268,JIND,Sugarcane
269,JODHPUR,Sugarcane
270,JORHAT,Coconut 
271,JUNAGADH,Sugarcane
272,KABIRDHAM,Banana
273,KACHCHH,Banana
274,KADAPA,Coconut 
275,KAIMUR (BHABUA),Sugarcane
276,KAITHAL,Sugarcane
277,KALAHANDI,Sugarcane
278,KAMRUP,Coconut 
279,KAMRUP METRO,Coconut 
280,KANCHIPURAM,Coconut 
281,KANDHAMAL,Sugarcane
282,KANGRA,Potato
283,KANKER,Banana
284,KANNAUJ,Sugarcane
285,KANNIYAKUMARI,Coconut 
286,KANNUR,Coconut 
287,KANPUR DEHAT,Sugarcane
288,KANPUR NAGAR,Sugarcane
289,KAPURTHALA,Sugarcane
290,KARAIKAL,Coconut 
291,KARAULI,Sugarcane
292,KARBI ANGLONG,Coconut 
293,KARGIL,Potato
294,KARIMGANJ,Coconut 
295,KARIMNAGAR,Sugarcane
296,KARNAL,Sugarcane
297,KARUR,Coconut 
298,KASARAGOD,Coconut 
299,KASGANJ,Sugarcane
300,KATHUA,Potato
301,KATIHAR,Sugarcane
302,KATNI,Banana
303,KAUSHAMBI,Sugarcane
304,KENDRAPARA,Sugarcane
305,KENDUJHAR,Sugarcane
306,KHAGARIA,Sugarcane
307,KHAMMAM,Coconut 
308,KHANDWA,Papaya
309,KHARGONE,Sugarcane
310,KHEDA,Sugarcane
311,KHERI,Sugarcane
312,KHORDHA,Sugarcane
313,KHOWAI,Sugarcane
314,KHUNTI,Onion
315,KINNAUR,Potato
316,KIPHIRE,Sugarcane
317,KISHANGANJ,Sugarcane
318,KISHTWAR,Potato
319,KODAGU,Sugarcane
320,KODERMA,Sugarcane
321,KOHIMA,Sugarcane
322,KOKRAJHAR,Coconut 
323,KOLAR,Sugarcane
324,KOLASIB,Sugarcane
325,KOLHAPUR,Sugarcane
326,KOLLAM,Coconut 
327,KONDAGAON,Banana
328,KOPPAL,Sugarcane
329,KORAPUT,Sugarcane
330,KORBA,Banana
331,KOREA,Banana
332,KOTA,Sugarcane
333,KOTTAYAM,Coconut 
334,KOZHIKODE,Coconut 
335,KRISHNA,Coconut 
336,KRISHNAGIRI,Coconut 
337,KULGAM,Potato
338,KULLU,Potato
339,KUPWARA,Potato
340,KURNOOL,Coconut 
341,KURUKSHETRA,Sugarcane
342,KURUNG KUMEY,Sugarcane
343,KUSHI NAGAR,Sugarcane
344,LAHUL AND SPITI,Potato
345,LAKHIMPUR,Coconut 
346,LAKHISARAI,Sugarcane
347,LALITPUR,Sugarcane
348,LATEHAR,Potato
349,LATUR,Banana
350,LAWNGTLAI,Sugarcane
351,LEH LADAKH,Potato
352,LOHARDAGA,Sugarcane
353,LOHIT,Potato
354,LONGDING,Dry chillies
355,LONGLENG,Sugarcane
356,LOWER DIBANG VALLEY,Sugarcane
357,LOWER SUBANSIRI,Sugarcane
358,LUCKNOW,Sugarcane
359,LUDHIANA,Sugarcane
360,LUNGLEI,Tapioca
361,MADHEPURA,Sugarcane
362,MADHUBANI,Sugarcane
363,MADURAI,Coconut 
364,MAHARAJGANJ,Sugarcane
365,MAHASAMUND,Banana
366,MAHBUBNAGAR,Coconut 
367,MAHE,Coconut 
368,MAHENDRAGARH,Sweet potato
369,MAHESANA,Onion
370,MAHOBA,Sugarcane
371,MAINPURI,Sugarcane
372,MALAPPURAM,Coconut 
373,MALDAH,Coconut 
374,MALKANGIRI,Sugarcane
375,MAMIT,Sugarcane
376,MANDI,Potato
377,MANDLA,Sugarcane
378,MANDSAUR,Papaya
379,MANDYA,Sugarcane
380,MANSA,Sugarcane
381,MARIGAON,Coconut 
382,MATHURA,Sugarcane
383,MAU,Sugarcane
384,MAYURBHANJ,Sugarcane
385,MEDAK,Coconut 
386,MEDINIPUR EAST,Coconut 
387,MEDINIPUR WEST,Coconut 
388,MEERUT,Sugarcane
389,MEWAT,Sugarcane
390,MIRZAPUR,Sugarcane
391,MOGA,Sugarcane
392,MOKOKCHUNG,Sugarcane
393,MON,Sugarcane
394,MORADABAD,Sugarcane
395,MORENA,Sugarcane
396,MUKTSAR,Sugarcane
397,MUMBAI,Maize
398,MUNGELI,Banana
399,MUNGER,Sugarcane
400,MURSHIDABAD,Coconut 
401,MUZAFFARNAGAR,Sugarcane
402,MUZAFFARPUR,Sugarcane
403,MYSORE,Sugarcane
404,NABARANGPUR,Sugarcane
405,NADIA,Coconut 
406,NAGAON,Coconut 
407,NAGAPATTINAM,Coconut 
408,NAGAUR,Sugarcane
409,NAGPUR,Sugarcane
410,NAINITAL,Sugarcane
411,NALANDA,Sugarcane
412,NALBARI,Coconut 
413,NALGONDA,Coconut 
414,NAMAKKAL,Coconut 
415,NAMSAI,Potato
416,NANDED,Sugarcane
417,NANDURBAR,Sugarcane
418,NARAYANPUR,Banana
419,NARMADA,Banana
420,NARSINGHPUR,Sugarcane
421,NASHIK,Sugarcane
422,NAVSARI,Banana
423,NAWADA,Sugarcane
424,NAWANSHAHR,Sugarcane
425,NAYAGARH,Sugarcane
426,NEEMUCH,Sugarcane
427,NICOBARS,Coconut 
428,NIZAMABAD,Coconut 
429,NORTH AND MIDDLE ANDAMAN,Coconut 
430,NORTH DISTRICT,Other Vegetables
431,NORTH GARO HILLS,Banana
432,NORTH GOA,Coconut 
433,NORTH TRIPURA,Sugarcane
434,NUAPADA,Sugarcane
435,OSMANABAD,Banana
436,PAKUR,Sugarcane
437,PALAKKAD,Coconut 
438,PALAMU,Sugarcane
439,PALGHAR,Rice
440,PALI,Sugarcane
441,PALWAL,Sugarcane
442,PANCH MAHALS,Sugarcane
443,PANCHKULA,Sugarcane
444,PANIPAT,Sugarcane
445,PANNA,Banana
446,PAPUM PARE,Sugarcane
447,PARBHANI,Sugarcane
448,PASHCHIM CHAMPARAN,Sugarcane
449,PATAN,Potato
450,PATHANAMTHITTA,Coconut 
451,PATHANKOT,Sugarcane
452,PATIALA,Sugarcane
453,PATNA,Sugarcane
454,PAURI GARHWAL,Sugarcane
455,PERAMBALUR,Coconut 
456,PEREN,Sugarcane
457,PHEK,Sugarcane
458,PILIBHIT,Sugarcane
459,PITHORAGARH,Potato
460,PONDICHERRY,Coconut 
461,POONCH,Potato
462,PORBANDAR,Onion
463,PRAKASAM,Coconut 
464,PRATAPGARH,Sugarcane
465,PUDUKKOTTAI,Coconut 
466,PULWAMA,Potato
467,PUNE,Sugarcane
468,PURBI CHAMPARAN,Sugarcane
469,PURI,Sugarcane
470,PURNIA,Sugarcane
471,PURULIA,Coconut 
472,RAE BARELI,Sugarcane
473,RAICHUR,Sugarcane
474,RAIGAD,Banana
475,RAIGARH,Banana
476,RAIPUR,Banana
477,RAISEN,Sugarcane
478,RAJAURI,Potato
479,RAJGARH,Papaya
480,RAJKOT,Sugarcane
481,RAJNANDGAON,Papaya
482,RAJSAMAND,Sugarcane
483,RAMANAGARA,Sugarcane
484,RAMANATHAPURAM,Coconut 
485,RAMBAN,Maize
486,RAMGARH,Onion
487,RAMPUR,Sugarcane
488,RANCHI,Potato
489,RANGAREDDI,Coconut 
490,RATLAM,Papaya
491,RATNAGIRI,Banana
492,RAYAGADA,Sugarcane
493,REASI,Potato
494,REWA,Sugarcane
495,REWARI,Onion
496,RI BHOI,Banana
497,ROHTAK,Sugarcane
498,ROHTAS,Sugarcane
499,RUDRA PRAYAG,Potato
500,RUPNAGAR,Sugarcane
501,S.A.S NAGAR,Sugarcane
502,SABAR KANTHA,Sugarcane
503,SAGAR,Papaya
504,SAHARANPUR,Sugarcane
505,SAHARSA,Sugarcane
506,SAHEBGANJ,Potato
507,SAIHA,Sugarcane
508,SALEM,Coconut 
509,SAMASTIPUR,Sugarcane
510,SAMBA,Potato
511,SAMBALPUR,Sugarcane
512,SAMBHAL,Sugarcane
513,SANGLI,Sugarcane
514,SANGRUR,Sugarcane
515,SANT KABEER NAGAR,Sugarcane
516,SANT RAVIDAS NAGAR,Sugarcane
517,SARAIKELA KHARSAWAN,Potato
518,SARAN,Sugarcane
519,SATARA,Sugarcane
520,SATNA,Papaya
521,SAWAI MADHOPUR,Sugarcane
522,SEHORE,Sugarcane
523,SENAPATI,Banana
524,SEONI,Sugarcane
525,SEPAHIJALA,Sugarcane
526,SERCHHIP,Sugarcane
527,SHAHDOL,Sugarcane
528,SHAHJAHANPUR,Sugarcane
529,SHAJAPUR,Papaya
530,SHAMLI,Sugarcane
531,SHEIKHPURA,Sugarcane
532,SHEOHAR,Sugarcane
533,SHEOPUR,Sugarcane
534,SHIMLA,Sugarcane
535,SHIMOGA,Sugarcane
536,SHIVPURI,Sugarcane
537,SHOPIAN,Potato
538,SHRAVASTI,Sugarcane
539,SIDDHARTH NAGAR,Sugarcane
540,SIDHI,Sugarcane
541,SIKAR,Sugarcane
542,SIMDEGA,Potato
543,SINDHUDURG,Sugarcane
544,SINGRAULI,Onion
545,SIRMAUR,Sugarcane
546,SIROHI,Sugarcane
547,SIRSA,Sugarcane
548,SITAMARHI,Sugarcane
549,SITAPUR,Sugarcane
550,SIVAGANGA,Coconut 
551,SIVASAGAR,Coconut 
552,SIWAN,Sugarcane
553,SOLAN,Onion
554,SOLAPUR,Sugarcane
555,SONBHADRA,Sugarcane
556,SONEPUR,Sugarcane
557,SONIPAT,Sugarcane
558,SONITPUR,Coconut 
559,SOUTH ANDAMANS,Coconut 
560,SOUTH DISTRICT,Potato
561,SOUTH GARO HILLS,Banana
562,SOUTH GOA,Coconut 
563,SOUTH TRIPURA,Sugarcane
564,SOUTH WEST GARO HILLS,Dry ginger
565,SOUTH WEST KHASI HILLS,Potato
566,SPSR NELLORE,Coconut 
567,SRIKAKULAM,Coconut 
568,SRINAGAR,Potato
569,SUKMA,Banana
570,SULTANPUR,Sugarcane
571,SUNDARGARH,Sugarcane
572,SUPAUL,Sugarcane
573,SURAJPUR,Potato
574,SURAT,Sugarcane
575,SURENDRANAGAR,Sugarcane
576,SURGUJA,Banana
577,TAMENGLONG,Sugarcane
578,TAPI,Banana
579,TARN TARAN,Sugarcane
580,TAWANG,Potato
581,TEHRI GARHWAL,Dry ginger
582,THANE,Banana
583,THANJAVUR,Coconut 
584,THE NILGIRIS,Coconut 
585,THENI,Coconut 
586,THIRUVALLUR,Coconut 
587,THIRUVANANTHAPURAM,Coconut 
588,THIRUVARUR,Coconut 
589,THOUBAL,Sugarcane
590,THRISSUR,Coconut 
591,TIKAMGARH,Sugarcane
592,TINSUKIA,Coconut 
593,TIRAP,Sugarcane
594,TIRUCHIRAPPALLI,Coconut 
595,TIRUNELVELI,Coconut 
596,TIRUPPUR,Coconut 
597,TIRUVANNAMALAI,Coconut 
598,TONK,Sugarcane
599,TUENSANG,Sugarcane
600,TUMKUR,Sugarcane
601,TUTICORIN,Coconut 
602,UDAIPUR,Sugarcane
603,UDALGURI,Coconut 
604,UDAM SINGH NAGAR,Sugarcane
605,UDHAMPUR,Potato
606,UDUPI,Sugarcane
607,UJJAIN,Papaya
608,UKHRUL,Banana
609,UMARIA,Sugarcane
610,UNA,Sugarcane
611,UNAKOTI,Sugarcane
612,UNNAO,Sugarcane
613,UPPER SIANG,Sugarcane
614,UPPER SUBANSIRI,Sugarcane
615,UTTAR KANNAD,Sugarcane
616,UTTAR KASHI,Sugarcane
617,VADODARA,Banana
618,VAISHALI,Sugarcane
619,VALSAD,Sugarcane
620,VARANASI,Sugarcane
621,VELLORE,Coconut 
622,VIDISHA,Papaya
623,VILLUPURAM,Coconut 
624,VIRUDHUNAGAR,Coconut 
625,VISAKHAPATANAM,Coconut 
626,VIZIANAGARAM,Coconut 
627,WARANGAL,Papaya
628,WARDHA,Sugarcane
629,WASHIM,Banana
630,WAYANAD,Coconut 
631,WEST DISTRICT,Other Vegetables
632,WEST GARO HILLS,Banana
633,WEST GODAVARI,Coconut 
634,WEST JAINTIA HILLS,Dry ginger
635,WEST KAMENG,Potato
636,WEST KHASI HILLS,Potato
637,WEST SIANG,Sugarcane
638,WEST SINGHBHUM,Potato
639,WEST TRIPURA,Sugarcane
640,WOKHA,Sugarcane
641,YADGIR,Sugarcane
642,YAMUNANAGAR,Sugarcane
643,YANAM,Coconut 
644,YAVATMAL,Sugarcane
645,ZUNHEBOTO,Sugarcane
